Bairro,Trecho da rua,"Situação locacional (marquise, sombra de árvore; Céu livre, etc)",Data e Hora,Clima,Temperatura (°C),Isolamento da Roupa,Você é:,Você faz utilização de remédios de uso contínuo,"Se sim, qual ou quais comorbidade(s)?",Faixa Etária,Gênero,Como você se identifica em relação à raça/cor:,Nível de escolarização,Com que frequência você caminha pelo seu bairro ou por outras áreas da cidade?,Quais são os principais motivos para caminhar? ,Quais barreiras você encontra ao caminhar na sua região?,Você sente que há infraestrutura adequada para pedestres na sua região?,"De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Largura da calçada]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Pavimentação]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Espaço livre para circulação de pedestres]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [O quanto ter árvores e sombras no seu percurso de caminhada é importante ?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Você se sente seguro(a) caminhando na sua região durante o dia?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Você se sente seguro(a) caminhando na sua região durante a noite?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [A infraestrutura para pedestres é acessível para idosos, pessoas com deficiência ou mobilidade reduzida ?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [A infraestrutura para pedestres é acessível para mulheres com crianças ?]",Há áreas onde você evita caminhar por questões de segurança?,Quais dificuldades você encontra ao caminhar por aqui?,Presença e Distribuição [Bancos disponíveis ao longo do trecho?],Presença e Distribuição [Lixeiras em pontos estratégicos?],Presença e Distribuição [Ponto de ônibus acessível e em bom estado?],Presença e Distribuição [Placas ou sinalização para pedestres?],"De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Estado geral dos bancos]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Iluminação pública funcionando]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Faixas de pedestre visíveis]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Placas e semáforos para pedestres legíveis]", [Rampas para cadeirantes em esquinas/faixas], [Bancos com sombra/proteção climática]," [Sinalização adequada para idosos, crianças e pessoas com deficiência]", [Existência de paradas de transporte público], [Paradas de transporte público/proteção climática], [Você utiliza os bancos/mobiliário urbano daqui?], [Você acha que a sinalização ajuda a caminhar com segurança?],"Neste exato momento, quanto às condições de tempo, você sente?","Como você preferia estar se sentindo, nesse momento?",Como você classifica o conforto térmico nesse trecho?,O que você acha do sol neste momento?,O que você acha do vento neste momento?,O que você acha da umidade neste momento?,"Em relação às condições atmosféricas, você está se sentindo confortável?",Nota geral de caminhabilidade do trecho (0 a 10) [Nota]
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:45,Nublado,26,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,45–59,Masculino,Parda,Educação Superior completa,Alguns dias da semana,Lazer,,Sim,1,1,1,5,4,4,2,2,Não,,Parcial,Não,Não,Não,3,2,3,3,Atende parcialmente,Sim,Não,Não,Não,Sim,Não,Um pouco de frio,Assim mesmo,Confortável,OK,OK,OK,Sim,6
Fundão,Cenpes,Céu livre,18 de junho 10:00,Ensolarado,21°,Até 0.5 clo (vestimenta de verão),Estudante,Não,,18–29,Masculino,Branca,Educação Superior incompleta,Diariamente,Estudo,Calçadas ruins,Não,3,3,4,5,4,1,2,2,Sim,"Calçadas ruins, Sensação de insegurança, Falta de bancos ou locais para descanso",Parcial,Parcial,Parcial,Sim,3,2,5,5,Atende plenamente,Parcial,Sim,Sim,Parcial,Parcial,Sim,Um pouco de frio,Um pouco mais aquecido,Confortável,OK,Ventoso,OK,Mais ou Menos,9
Fundão,Cenpes,Céu livre,18 de junho 10:00,Ensolarado,,,Morador,Sim,,45–59,Masculino,Branca,Ensino Médio completo,Diariamente,Lazer,,Sim,4,4,3,5,3,2,2,3,Não,"Calçadas ruins, Trânsito perigoso, Falta de bancos ou locais para descanso",Sim,Sim,Parcial,Parcial,3,5,3,5,Atende parcialmente,Sim,Sim,Não,Parcial,Não,Sim,Um pouco de calor,Assim mesmo,Confortável,OK,OK,OK,Sim,10
Fundão,Cenpes,Sombra de árvore,18 de junho 10:10,Ensolarado,20°,Entre 0.5 e 1 clo (vestimenta de meia estação),Morador,Não,,30–44,Feminino,Parda,Educação Superior incompleta,Diariamente,Lazer,,Sim,4,5,4,5,5,1,4,5,Sim,Trânsito perigoso,Não,Não,Sim,Sim,3,3,4,4,Atende parcialmente,Parcial,Parcial,Sim,Não,Não,Sim,Frio,Assim mesmo,Confortável,OK,OK,OK,Sim,8
Fundão,Cenpes,Céu livre,18 de junho 10:05,Ensolarado,21,Até 0.5 clo (vestimenta de verão),Morador,Não,,30–44,Masculino,Parda,Ensino Médio incompleto,Diariamente,Lazer,,Sim,3,3,3,5,3,2,2,1,Sim,,Não,Não,Sim,Sim,1,2,1,1,Não atende,,,Sim,Não,Não,Não,Nem frio nem calor,Assim mesmo,Confortável,OK,OK,OK,Sim,8
Fundão,Cenpes,Céu livre,18 de junho 10:15,Ensolarado,21,Acima de 1 clo (vestimenta de inverno),Trabalhador da região,Não,,45–59,Masculino,Parda,Ensino Médio completo,Diariamente,Trabalho,Calçadas ruins,Não,3,3,5,5,5,1,5,5,Sim,"Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados",Sim,Não,Sim,Sim,5,5,5,5,Atende plenamente,Parcial,Não,Sim,Sim,Sim,Sim,Um pouco de calor,Um pouco mais refrescado,Confortável,OK,Sem vento,OK,Mais ou Menos,8
Fundão,Cenpes,Céu livre,18 de junho 10:10,Ensolarado,22,Acima de 1 clo (vestimenta de inverno),Trabalhador da região,Não,,30–44,Masculino,Branca,Educação Superior incompleta,Alguns dias da semana,Lazer,Calçadas ruins,Mais ou menos,3,4,3,5,1,1,1,1,Sim,"Calçadas ruins, Trânsito perigoso",Não,Sim,Não,Sim,3,5,5,5,Atende parcialmente,Não,Parcial,Sim,Não,Não,Parcial,Frio,Assim mesmo,Confortável,OK,OK,OK,Sim,9
Fundão,Cenpes,Céu livre,18 de junho 10:15,Ensolarado,21,Entre 0.5 e 1 clo (vestimenta de meia estação),Trabalhador da região,Não,,30–44,Feminino,Branca,Educação Superior completa,Alguns dias da semana,Trabalho,Insegurança,Mais ou menos,2,3,3,5,3,1,2,2,Sim,"Sensação de insegurança, Trânsito perigoso, Falta de bancos ou locais para descanso",Não,Não,Sim,Parcial,1,3,2,3,Não atende,Não,Parcial,Sim,Sim,Sim,Sim,Um pouco de calor,Mais refrescado,Um pouco desconfortável,OK,OK,OK,Sim,7
Fundão,Cenpes,Sombra de árvore,18 de junho 10:25,Ensolarado,21,Entre 0.5 e 1 clo (vestimenta de meia estação),Visitante,Sim,Alergia,60-69,Masculino,Parda,Ensino Fundamental incompleto,Alguns dias da semana,Lazer,Insegurança,Sim,4,3,3,5,5,1,4,3,Sim,Trânsito perigoso,Não,Não,Parcial,Não,2,3,1,2,Atende plenamente,Sim,Parcial,Parcial,Não,Não,Sim,Nem frio nem calor,Assim mesmo,Confortável,OK,Ventoso,Muito úmido,Sim,9
Fundão,Cenpes,Sombra de árvore,18 de junho 10:25,Ensolarado,21°,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Masculino,Parda,Educação Superior incompleta,Diariamente,Estudo,Poluição,Não,2,2,1,5,5,3,2,2,Sim,"Calçadas ruins, Falta de sombra, Sensação de insegurança, Falta de bancos ou locais para descanso",Parcial,Parcial,Sim,Sim,3,3,4,4,Atende plenamente,Parcial,Parcial,Parcial,Parcial,Parcial,Sim,Um pouco de frio,Um pouco mais aquecido,Confortável,OK,Ventoso,OK,Sim,7
Fundão,Cenpes,Céu livre,18 de junho 10:25,Ensolarado,21°,,Trabalhador da região,Sim,Pressão alta,60-69,Masculino,Preta,Educação Superior incompleta,Alguns dias da semana,Lazer,Insegurança,Não,2,2,2,5,2,1,1,1,Sim,Sensação de insegurança,Parcial,Parcial,Parcial,Não,3,5,5,5,Atende parcialmente,Não,Parcial,Não,Não,Sim,Parcial,Nem frio nem calor,Assim mesmo,Confortável,OK,Pouco vento,OK,Sim,6
Fundão,Cenpes,Céu livre,18 de junho 10:25,Ensolarado,21°C,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Feminino,Branca,Educação Superior incompleta,Alguns dias da semana,Estudo,Falta de sombra,Mais ou menos,2,4,3,5,5,5,3,4,Não,"Calçadas ruins, Falta de sombra, Trânsito perigoso, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados, Construções (residências, lojas, etc)",Parcial,Parcial,Parcial,Parcial,3,3,5,5,Atende parcialmente,Parcial,Não,Sim,Parcial,Sim,Parcial,Nem frio nem calor,Assim mesmo,Um pouco desconfortável,Muito sol,Ventoso,Seco,Sim,7
Fundão,Cenpes,Sombra de árvore,18 de junho 10:25,Ensolarado,21,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,30–44,Feminino,Parda,Educação Superior incompleta,Esporadicamente,Transporte público,Insegurança,Sim,4,4,4,5,1,1,4,3,Sim,"Trânsito perigoso, Falta de bancos ou locais para descanso",Não,Não,Parcial,Parcial,4,3,3,3,Atende plenamente,Não,Parcial,Parcial,Parcial,Parcial,Sim,Frio,Mais aquecido,Confortável,OK,OK,OK,Sim,8
Fundão,Cenpes,Céu livre,18 de junho 10:30,Ensolarado,22,Acima de 1 clo (vestimenta de inverno),Trabalhador da região,Não,,45–59,Masculino,Branca,Ensino Médio incompleto,Todos os dias da semana,Trabalho,Insegurança,Mais ou menos,3,3,3,5,4,4,2,2,Sim,"Calçadas ruins, Sensação de insegurança, Trânsito perigoso, Falta de bancos ou locais para descanso",Não,Não,Não,Não,1,3,2,2,Não atende,Não,Não,Não,Parcial,Sim,Não,Nem frio nem calor,Um pouco mais refrescado,Desconfortável,Muito sol,Pouco vento,Seco,Sim,3
Fundão,Cenpes,Céu livre,18 de junho 10:25,Ensolarado,21,Entre 0.5 e 1 clo (vestimenta de meia estação),Morador,Sim,Diabetes,60-69,Feminino,Parda,Ensino Médio completo,Alguns dias da semana,Lazer,Insegurança,Mais ou menos,3,3,3,5,3,1,1,2,Sim,Sensação de insegurança,Não,Não,Sim,Sim,1,3,3,4,Não atende,Não,Parcial,Sim,Sim,Não,Sim,Nem frio nem calor,Assim mesmo,Confortável,OK,OK,OK,Sim,9
Fundão,Cenpes,Céu livre,18 de junho 10:40,Ensolarado,21°C,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Feminino,Branca,Educação Superior incompleta,Alguns dias da semana,Trabalho,Insegurança,Sim,4,4,4,4,3,1,3,3,Sim,"Falta de sombra, Sensação de insegurança, Trânsito perigoso, Falta de bancos ou locais para descanso",Não,Não,Parcial,Parcial,,3,3,3,Atende parcialmente,Parcial,Parcial,Parcial,Sim,,Sim,Um pouco de frio,Um pouco mais aquecido,Confortável,OK,Pouco vento,Úmido,Sim,9
Fundão,Cenpes,Céu livre,18 de junho 10:40,Ensolarado,21,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Masculino,Parda,Educação Superior incompleta,Diariamente,Estudo,Falta de sombra,Mais ou menos,2,2,2,5,4,3,2,2,Sim,"Calçadas ruins, Falta de sombra, Sensação de insegurança",Parcial,Parcial,Parcial,Parcial,3,3,4,4,Atende plenamente,Parcial,Parcial,Parcial,Parcial,Parcial,Parcial,Muito frio,Mais aquecido,Confortável,Você prefere mais,OK,OK,Mais ou Menos,7
Fundão,Cenpes,Sombra de árvore,18 de junho 10:45,Ensolarado,21,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Masculino,Branca,Educação Superior incompleta,Só os fins de semana,Lazer,Insegurança,Sim,4,4,4,5,2,1,3,3,Sim,Falta de bancos ou locais para descanso,Não,Não,Parcial,Parcial,4,4,3,4,Atende parcialmente,Parcial,Parcial,Parcial,Parcial,Parcial,Parcial,Nem frio nem calor,Assim mesmo,Confortável,OK,OK,OK,Sim,8
Fundão,Cenpes,Céu livre,18 de junho 10:40,Ensolarado,21°,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Prefiro não dizer,Branca,Educação Superior incompleta,Diariamente,Estudo,Falta de sombra,Mais ou menos,3,4,3,4,4,3,2,3,Não,"Calçadas ruins, Falta de sombra, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados",Parcial,Parcial,Parcial,Sim,3,2,5,4,Atende parcialmente,Parcial,Não,Sim,Parcial,Sim,Parcial,Um pouco de calor,Um pouco mais refrescado,Um pouco desconfortável,Muito sol,Ventoso,OK,Mais ou Menos,4
Fundão,Cenpes,Sombra da árvore,18 de junho 10:35,Ensolarado,,Acima de 1 clo (vestimenta de inverno),Morador,Sim,,30–44,Masculino,Branca,Educação Superior incompleta,Alguns dias da semana,Lazer,Insegurança,Sim,5,5,5,5,5,5,3,5,Sim,"Trânsito perigoso, Falta de bancos ou locais para descanso",Sim,Não,Sim,Sim,3,5,5,5,Atende parcialmente,Não,Sim,Sim,Sim,Não,Sim,Nem frio nem calor,Assim mesmo,Confortável,OK,Muito vento,Muito úmido,Sim,10
Fundão,CT | CCMN (lado CT),Céu livre,23 de junho 10:05,Ensolarado,27°,,Estudante,Sim,Psiquiátrico,18–29,Masculino,Branca,Educação Superior completa,Alguns dias da semana,Lazer,,Não,3,2,3,5,4,2,1,3,Sim,,Parcial,Não,Parcial,Não,2,3,3,5,Atende plenamente,Parcial,Não,Não,Não,Sim,Não,Nem frio nem calor,Assim mesmo,Confortável,Muito sol,Pouco vento,OK,Não,6
Fundão,CT | CCMN (lado CT),Céu livre,23 de junho 10:05,Ensolarado,27°,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Masculino,Branca,Educação Superior completa,Diariamente,Estudo,Calçadas ruins,Mais ou menos,3,2,2,4,4,2,2,3,Sim,Sensação de insegurança,Parcial,Sim,Parcial,Parcial,3,2,3,3,Atende parcialmente,Parcial,Não,Sim,Sim,Não,Parcial,Calor,Mais refrescado,Um pouco desconfortável,Muito sol,Sem vento,Seco,Não,5
Fundão,CT | CCMN (lado CT),Céu livre,23 de junho 10:20,Ensolarado,27°,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,< 18 anos,Feminino,Parda,Educação Superior incompleta,Todos os dias da semana,Transporte público,Calçadas ruins,Não,1,1,1,5,5,2,1,1,Sim,"Falta de sombra, Trânsito perigoso, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados",Não,Não,Parcial,Parcial,3,3,3,3,Atende parcialmente,Parcial,Não,Parcial,Parcial,Parcial,Não,Um pouco de calor,Um pouco mais refrescado,Confortável,OK,Pouco vento,OK,Sim,6
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 13:10,Ensolarado,28°,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Masculino,Preta,Educação Superior incompleta,Diariamente,Transporte público,Poluição,Não,2,5,3,5,4,1,1,3,Sim,"Falta de sombra, Trânsito perigoso, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados",Não,Não,Não,Parcial,3,3,2,1,Não atende,Não,Não,Não,Parcial,Não,Sim,Um pouco de calor,Mais refrescado,Desconfortável,OK,Pouco vento,Seco,Mais ou Menos,3
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 13:30,Ensolarado,28,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Masculino,Preta,Educação Superior incompleta,Todos os dias da semana,Estudo,Insegurança,Mais ou menos,3,3,4,5,3,2,2,3,Sim,"Falta de sombra, Excesso de carros e/ou motos estacionados",Não,Não,Sim,Sim,3,4,2,2,Não atende,Parcial,Não,,Sim,Sim,Sim,Um pouco de calor,Um pouco mais refrescado,Um pouco desconfortável,OK,Pouco vento,OK,Sim,6
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 13:30,Ensolarado,38,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Masculino,Parda,Educação Superior incompleta,Todos os dias da semana,Lazer,Poluição,Sim,5,4,5,5,5,4,4,5,Sim,"Sensação de insegurança, Trânsito perigoso",Não,Não,Parcial,Parcial,3,2,2,3,Atende parcialmente,Parcial,Não,Parcial,Parcial,Sim,Sim,Um pouco de calor,Um pouco mais refrescado,Confortável,OK,Muito vento,Seco,Sim,7
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 13:45,Ensolarado,28,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Feminino,Preta,Educação Superior incompleta,Alguns dias da semana,Lazer,Insegurança,Não,3,4,4,5,5,1,3,3,Sim,Sensação de insegurança,Parcial,Não,Parcial,Parcial,4,3,2,3,Atende parcialmente,Parcial,Parcial,Sim,Não,Sim,Parcial,Um pouco de calor,Um pouco mais refrescado,Um pouco desconfortável,Muito sol,Ventoso,Seco,Sim,6
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 13:40,Ensolarado,28,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Sim,Problemas respiratórios,18–29,Feminino,Parda,Educação Superior incompleta,Alguns dias da semana,Estudo,Calçadas ruins,Não,2,2,2,5,2,1,1,2,Sim,"Calçadas ruins, Sensação de insegurança, Trânsito perigoso, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados",Não,Parcial,Parcial,Parcial,3,2,2,3,Não atende,Sim,Parcial,Parcial,Sim,Sim,Sim,Um pouco de calor,Um pouco mais refrescado,Confortável,Muito sol,OK,Úmido,Mais ou Menos,8
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 13:40,Ensolarado,,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Masculino,Branca,Educação Superior incompleta,Todos os dias da semana,Transporte público,Calçadas ruins,Mais ou menos,3,3,3,4,4,4,2,3,Não,Sensação de insegurança,Parcial,Não,Sim,Parcial,3,3,1,2,Atende parcialmente,Sim,Parcial,Sim,Sim,Parcial,Sim,Nem frio nem calor,Assim mesmo,Confortável,OK,OK,OK,Sim,8
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 14:00,Ensolarado,27,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Masculino,Parda,Educação Superior incompleta,Esporadicamente,Lazer,Insegurança,Mais ou menos,3,2,3,5,4,2,1,1,Sim,Falta de bancos ou locais para descanso,Não,Parcial,Sim,Não,4,4,3,3,Não atende,Não,Não,Sim,Parcial,Sim,Sim,Nem frio nem calor,Assim mesmo,Confortável,OK,OK,OK,Sim,8
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 13:50,Ensolarado,29°c,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Sim,Psiquiátrico ,18–29,Feminino,Branca,Educação Superior incompleta,Diariamente,Estudo,Calçadas ruins,Não,3,2,4,5,4,2,1,2,Não,"Calçadas ruins, Sensação de insegurança, Trânsito perigoso, Excesso de carros e/ou motos estacionados",Parcial,Parcial,Parcial,Parcial,3,3,2,2,Não atende,Parcial,Parcial,Sim,Sim,Sim,Sim,Um pouco de calor,Um pouco mais refrescado,Confortável,OK,Pouco vento,OK,Sim,7
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 13:50,Ensolarado,28,Entre 0.5 e 1 clo (vestimenta de meia estação),Trabalhador da região,Sim,,70 ou mais,Masculino,Branca,Ensino Médio completo,Esporadicamente,Lazer,Poluição,Não,1,3,2,5,1,1,1,2,Sim,"Sensação de insegurança, Excesso de carros e/ou motos estacionados",Não,Não,Não,Não,2,2,4,4,Atende parcialmente,Não,Não,Sim,Sim,Não,Parcial,Nem frio nem calor,Assim mesmo,Confortável,OK,Pouco vento,Úmido,Sim,7
Fundão,CT | CCMN (lado CT),Sombra de árvore ,23 de junho 14:00,Ensolarado,27,Até 0.5 clo (vestimenta de verão),Estudante,Não,,18–29,Masculino,Branca,Educação Superior incompleta,Esporadicamente,Trabalho,Insegurança,Sim,2,4,2,5,4,2,1,3,Sim,Calçadas ruins,Não,Não,Não,Não,2,5,5,5,Atende parcialmente,Sim,Não,Sim,Sim,Parcial,Parcial,Um pouco de calor,Um pouco mais refrescado,Confortável,OK,OK,OK,Sim,8
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 14:00,Ensolarado,29,Até 0.5 clo (vestimenta de verão),Estudante,Não,,18–29,Feminino,Branca,Educação Superior incompleta,Diariamente,Estudo,Insegurança,Mais ou menos,3,2,1,4,1,1,2,3,Sim,Sensação de insegurança,Não,Parcial,Parcial,Parcial,3,2,1,3,Atende parcialmente,Não,Não,Sim,Parcial,Sim,Sim,Nem frio nem calor,Assim mesmo,Confortável,OK,OK,OK,Sim,6
Fundão,CT | CCMN (lado CT),Sombra de árvore,23 de junho 14:00,Ensolarado,27,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Masculino,Branca,Educação Superior incompleta,Todos os dias da semana,Estudo,Falta de sombra,Mais ou menos,3,2,1,5,4,2,2,2,Sim,"Calçadas ruins, Sensação de insegurança, Trânsito perigoso, Falta de bancos ou locais para descanso",Parcial,Não,Não,Parcial,3,2,1,2,Não atende,Parcial,Não,Parcial,Não,Sim,Sim,Nem frio nem calor,Mais refrescado,Desconfortável,OK,Ventoso,Úmido,Sim,7
