Bairro,Trecho da rua,"Situação locacional (marquise, sombra de árvore; Céu livre, etc)",Data e Hora,Clima,Temperatura (°C),Isolamento da Roupa,Você é:,Você faz utilização de remédios de uso contínuo,"Se sim, qual ou quais comorbidade(s)?",Faixa Etária,Gênero,Como você se identifica em relação à raça/cor:,Nível de escolarização,Com que frequência você caminha pelo seu bairro ou por outras áreas da cidade?,Quais são os principais motivos para caminhar? ,Quais barreiras você encontra ao caminhar na sua região?,Você sente que há infraestrutura adequada para pedestres na sua região?,"De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Largura da calçada]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Pavimentação]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Espaço livre para circulação de pedestres]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [O quanto ter árvores e sombras no seu percurso de caminhada é importante ?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Você se sente seguro(a) caminhando na sua região durante o dia?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Você se sente seguro(a) caminhando na sua região durante a noite?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [A infraestrutura para pedestres é acessível para idosos, pessoas com deficiência ou mobilidade reduzida ?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [A infraestrutura para pedestres é acessível para mulheres com crianças ?]",Há áreas onde você evita caminhar por questões de segurança?,Quais dificuldades você encontra ao caminhar por aqui?,Presença e Distribuição [Bancos disponíveis ao longo do trecho?],Presença e Distribuição [Lixeiras em pontos estratégicos?],Presença e Distribuição [Ponto de ônibus acessível e em bom estado?],Presença e Distribuição [Placas ou sinalização para pedestres?],"De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Estado geral dos bancos]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Iluminação pública funcionando]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Faixas de pedestre visíveis]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Placas e semáforos para pedestres legíveis]", [Rampas para cadeirantes em esquinas/faixas], [Bancos com sombra/proteção climática]," [Sinalização adequada para idosos, crianças e pessoas com deficiência]", [Existência de paradas de transporte público], [Paradas de transporte público/proteção climática], [Você utiliza os bancos/mobiliário urbano daqui?], [Você acha que a sinalização ajuda a caminhar com segurança?],"Neste exato momento, quanto às condições de tempo, você sente?","Como você preferia estar se sentindo, nesse momento?",Como você classifica o conforto térmico nesse trecho?,O que você acha do sol neste momento?,O que você acha do vento neste momento?,O que você acha da umidade neste momento?,"Em relação às condições atmosféricas, você está se sentindo confortável?",Nota geral de caminhabilidade do trecho (0 a 10) [Nota]
Camorim,Estrada dos Bandeirantes,Céu livre,01 de junho 12:50,Ensolarado,25°,Entre 0.5 e 1 clo (vestimenta de meia estação),Morador,Não,,45–59,Feminino,Branca,Educação Superior completa,Diariamente,Transporte público,Calçadas ruins,Não,5,1,4,4,3,1,1,1,Sim,"Calçadas ruins, Sensação de insegurança, Falta de bancos ou locais para descanso",Parcial,Não,Não,Parcial,2,2,2,2,Atende parcialmente,,Parcial,Sim,Parcial,Parcial,Sim,Nem frio nem calor,Assim mesmo,Confortável,OK,Pouco vento,OK,Sim,2
Fundão,CT | CCMN (lado CCMN),Sombra do prédio,16 de junho 10:00,Chuva,24°,Acima de 1 clo (vestimenta de inverno),Trabalhador da região,Não,Problemas respiratórios,70 ou mais,Feminino,Branca,Educação Superior completa,Diariamente,Lazer,Calçadas ruins,Não,2,2,1,5,2,1,5,5,Sim,Calçadas ruins,Não,Não,Não,Não,4,3,5,3,Não atende,Não,Não,Parcial,Parcial,Não,Não,Nem frio nem calor,Assim mesmo,Confortável,Muito sol,Sem vento,Muito úmido,Mais ou Menos,6
Fundão,CT | CCMN (lado CCMN),Sombra do prédio,16 de junho 10:10,Chuva,25°,Entre 0.5 e 1 clo (vestimenta de meia estação),Trabalhador da região,Sim,Diabetes,45–59,Feminino,Preta,Ensino Médio completo,Esporadicamente,Trabalho,Falta de sombra,Mais ou menos,4,3,1,3,1,1,1,1,Sim,"Calçadas ruins, Falta de sombra, Sensação de insegurança, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados",Não,Não,Não,Parcial,3,3,3,3,Atende parcialmente,Sim,Parcial,Sim,Não,Parcial,Não,Nem frio nem calor,Assim mesmo,Um pouco desconfortável,OK,OK,Muito úmido,Sim,3
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 10:30,Nublado,22°,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Masculino,Branca,Educação Superior incompleta,,,Calçadas ruins,Não,1,2,2,1,2,1,1,1,Sim,Sensação de insegurança,Sim,Parcial,Sim,Não,3,3,1,2,Atende parcialmente,Sim,Não,Parcial,Parcial,Sim,Não,Frio,Mais aquecido,Desconfortável,OK,OK,Úmido,Sim,7
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 10:30,Nublado,22°,,Estudante,Sim,,18–29,Feminino,Branca,Educação Superior incompleta,Alguns dias da semana,Estudo,Insegurança,Mais ou menos,3,3,2,4,2,1,3,3,Sim,"Falta de sombra, Sensação de insegurança",Não,Parcial,Parcial,Parcial,2,2,2,3,Atende parcialmente,Não,Parcial,Sim,Parcial,Não,Sim,Frio,Bem mais aquecido,Um pouco desconfortável,OK,Muito vento,Úmido,,
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 10:40,Nublado,26,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Masculino,Branca,Educação Superior incompleta,,,Calçadas ruins,Não,3,2,4,4,2,1,1,1,Sim,"Sensação de insegurança, Trânsito perigoso, Falta de bancos ou locais para descanso",Parcial,Sim,Parcial,Sim,3,1,3,2,Atende parcialmente,Não,Parcial,Não,Não,Sim,Sim,Frio,Mais aquecido,Um pouco desconfortável,OK,OK,OK,Sim,7
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 10:45,Nublado,21C ,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Feminino,Branca,Educação Superior incompleta,Diariamente,Estudo,Calçadas ruins,Não,2,3,2,4,4,2,1,4,Sim,"Calçadas ruins, Falta de sombra, Sensação de insegurança, Trânsito perigoso",Não,,Parcial,Sim,1,1,4,4,Não atende,Não,Não,Sim,Não,Não,Parcial,Um pouco de frio,Assim mesmo,Confortável,OK,OK,OK,Sim,8
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 10:50,Nublado,26,Acima de 1 clo (vestimenta de inverno),Estudante,Sim,Diabetes,18–29,Feminino,Parda,Educação Superior incompleta,Alguns dias da semana,Lazer,Insegurança,Não,1,3,3,3,1,1,1,1,Sim,Sensação de insegurança,Não,Não,Parcial,Não,4,3,3,2,Atende parcialmente,Sim,Sim,Parcial,Parcial,Sim,Sim,Nem frio nem calor,Assim mesmo,Um pouco desconfortável,OK,Pouco vento,OK,Sim,8
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 10:40,Nublado,21° ,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Masculino,Preta,Educação Superior incompleta,Esporadicamente,Lazer,Calçadas ruins,Não,3,2,2,5,5,1,1,3,Sim,"Calçadas ruins, Falta de sombra, Falta de bancos ou locais para descanso",Não,Não,Sim,Não,3,2,1,3,Não atende,Sim,Sim,Sim,Sim,Sim,Sim,Um pouco de frio,Assim mesmo,Um pouco desconfortável,OK,Ventoso,Úmido,Sim,3
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:00,Nublado,26,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Masculino,Parda,Educação Superior incompleta,Esporadicamente,Lazer,Insegurança,Mais ou menos,3,4,3,4,3,1,2,3,Sim,Falta de bancos ou locais para descanso,Não,Não,Parcial,Não,3,1,3,1,Atende parcialmente,Não,Não,Parcial,Não,Não,Não,Frio,Mais aquecido,Confortável,OK,OK,OK,Sim,8
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:05,Nublado,26,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Feminino,Parda,Educação Superior incompleta,Alguns dias da semana,Estudo,Insegurança,Não,1,2,1,5,3,3,1,1,Sim,Calçadas ruins,Não,Não,Não,Parcial,3,2,2,3,Atende parcialmente,Não,Não,Parcial,Parcial,Sim,Não,Um pouco de frio,Assim mesmo,Muito desconfortável,OK,Pouco vento,Úmido,Sim,5
