id_resposta,bairro,trecho,situacao_locacional,data,hora,data_hora_iso,mes,periodo_dia,clima,temperatura_c,isolamento_roupa,clo_ordinal,clo_ref,perfil_respondente,usa_remedio_continuo,comorbidade,faixa_etaria,faixa_etaria_ordem,genero,raca_cor,raca_cor_agrupada,escolaridade,escolaridade_ordem,freq_caminhada,freq_caminhada_ordem,motivo_caminhar,barreira_principal,infra_adequada_pedestres,infra_adequada_ordem,nota_largura_calcada,nota_pavimentacao,nota_espaco_livre,nota_import_arvores_sombra,nota_seguranca_dia,nota_seguranca_noite,nota_acess_pcd_idosos,nota_acess_mulher_crianca,nota_estado_bancos,nota_iluminacao_publica,nota_faixas_pedestre,nota_placas_semaforos,evita_areas_inseguranca,dificuldades,dificuldades_n,dif_construcoes,dif_falta_bancos,dif_carros_estacionados,dif_inseguranca,dif_transito_perigoso,dif_calcadas_ruins,dif_falta_sombra,presenca_bancos,presenca_bancos_ord,presenca_lixeiras,presenca_lixeiras_ord,presenca_ponto_onibus,presenca_ponto_onibus_ord,presenca_sinal_pedestre,presenca_sinal_pedestre_ord,rampas_cadeirantes,rampas_cadeirantes_ord,bancos_com_sombra,bancos_com_sombra_ord,sinalizacao_inclusiva,sinalizacao_inclusiva_ord,existe_parada_transporte,existe_parada_transporte_ord,parada_com_protecao_climatica,parada_com_protecao_climatica_ord,utiliza_mobiliario,utiliza_mobiliario_ord,sinalizacao_ajuda_seguranca,sinalizacao_ajuda_seguranca_ord,sensacao_termica,sensacao_termica_escala,preferencia_termica,preferencia_termica_escala,conforto_termico,conforto_termico_escala,percepcao_sol,percepcao_vento,percepcao_umidade,confortavel_cond_atmosfericas,confortavel_cond_atm_ordem,idx_infra_fisica,idx_seguranca,idx_acessibilidade,nota_caminhabilidade,obs_tratamento
R011,Camorim,Estrada dos Bandeirantes,Céu livre,2026-06-01,12:50,2026-06-01T12:50,Junho,Tarde,Ensolarado,25,"0,5–1 clo (meia estação)",2,0.75,Morador,Não,,45-59,4,Feminino,Branca,Branca,Educação Superior completa,6,Diariamente,4,Transporte público,Calçadas ruins,Não,0,5,1,4,4,3,1,1,1,2,2,2,2,Sim,Falta de bancos ou locais para descanso; Sensação de insegurança; Calçadas ruins,3,0,1,0,1,0,1,0,Parcial,1,Não,0,Não,0,Parcial,1,Parcial,1,,,Parcial,1,Sim,2,Parcial,1,Parcial,1,Sim,2,Nem frio nem calor,0,Assim mesmo,0,Confortável,0,OK,Pouco vento,OK,Sim,2,2.57,2,1,2,
R012,Fundão,CT/CCMN (lado CCMN),Sombra do prédio,2026-06-16,10:00,2026-06-16T10:00,Junho,Manhã,Chuva,24,Acima de 1 clo (inverno),3,1.25,Trabalhador da região,Não,Problemas respiratórios,70+,6,Feminino,Branca,Branca,Educação Superior completa,6,Diariamente,4,Lazer,Calçadas ruins,Não,0,2,2,1,5,2,1,5,5,4,3,5,3,Sim,Calçadas ruins,1,0,0,0,0,0,1,0,Não,0,Não,0,Não,0,Não,0,Não,0,Não,0,Não,0,Parcial,1,Parcial,1,Não,0,Não,0,Nem frio nem calor,0,Assim mesmo,0,Confortável,0,Muito sol,Sem vento,Muito úmido,Mais ou menos,1,2.86,1.5,5,6,
R013,Fundão,CT/CCMN (lado CCMN),Sombra do prédio,2026-06-16,10:10,2026-06-16T10:10,Junho,Manhã,Chuva,25,"0,5–1 clo (meia estação)",2,0.75,Trabalhador da região,Sim,Diabetes,45-59,4,Feminino,Preta,Preta/Parda,Ensino Médio completo,4,Esporadicamente,1,Trabalho,Falta de sombra,Mais ou menos,1,4,3,1,3,1,1,1,1,3,3,3,3,Sim,Falta de bancos ou locais para descanso; Excesso de carros e/ou motos estacionados; Sensação de insegurança; Calçadas ruins; Falta de sombra,5,0,1,1,1,0,1,1,Não,0,Não,0,Não,0,Parcial,1,Parcial,1,Sim,2,Parcial,1,Sim,2,Não,0,Parcial,1,Não,0,Nem frio nem calor,0,Assim mesmo,0,Um pouco desconfortável,1,OK,OK,Muito úmido,Sim,2,2.86,1,1,3,
R014,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,10:30,2026-06-16T10:30,Junho,Manhã,Nublado,22,Acima de 1 clo (inverno),3,1.25,Estudante,Não,,18-29,2,Masculino,Branca,Branca,Educação Superior incompleta,5,,,,Calçadas ruins,Não,0,1,2,2,1,2,1,1,1,3,3,1,2,Sim,Sensação de insegurança,1,0,0,0,1,0,0,0,Sim,2,Parcial,1,Sim,2,Não,0,Parcial,1,Sim,2,Não,0,Parcial,1,Parcial,1,Sim,2,Não,0,Frio,-2,Mais aquecido,2,Desconfortável,2,OK,OK,Úmido,Sim,2,2,1.5,1,7,
R015,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,10:30,2026-06-16T10:30,Junho,Manhã,Nublado,22,,,,Estudante,Sim,,18-29,2,Feminino,Branca,Branca,Educação Superior incompleta,5,Alguns dias da semana,3,Estudo,Insegurança,Mais ou menos,1,3,3,2,4,2,1,3,3,2,2,2,3,Sim,Sensação de insegurança; Falta de sombra,2,0,0,0,1,0,0,1,Não,0,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Não,0,Parcial,1,Sim,2,Parcial,1,Não,0,Sim,2,Frio,-2,Bem mais aquecido,3,Um pouco desconfortável,1,OK,Muito vento,Úmido,,,2.43,1.5,3,,isolamento da roupa nao informado; nota geral nao informada
R016,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,10:40,2026-06-16T10:40,Junho,Manhã,Nublado,26,Acima de 1 clo (inverno),3,1.25,Estudante,Não,,18-29,2,Masculino,Branca,Branca,Educação Superior incompleta,5,,,,Calçadas ruins,Não,0,3,2,4,4,2,1,1,1,3,1,3,2,Sim,Falta de bancos ou locais para descanso; Sensação de insegurança; Trânsito perigoso,3,0,1,0,1,1,0,0,Parcial,1,Sim,2,Parcial,1,Sim,2,Parcial,1,Não,0,Parcial,1,Não,0,Não,0,Sim,2,Sim,2,Frio,-2,Mais aquecido,2,Um pouco desconfortável,1,OK,OK,OK,Sim,2,2.57,1.5,1,7,
R017,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,10:45,2026-06-16T10:45,Junho,Manhã,Nublado,21,Acima de 1 clo (inverno),3,1.25,Estudante,Não,,18-29,2,Feminino,Branca,Branca,Educação Superior incompleta,5,Diariamente,4,Estudo,Calçadas ruins,Não,0,2,3,2,4,4,2,1,4,1,1,4,4,Sim,Sensação de insegurança; Trânsito perigoso; Calçadas ruins; Falta de sombra,4,0,0,0,1,1,1,1,Não,0,,,Parcial,1,Sim,2,Não,0,Não,0,Não,0,Sim,2,Não,0,Não,0,Parcial,1,Um pouco de frio,-1,Assim mesmo,0,Confortável,0,OK,OK,OK,Sim,2,2.43,3,2.5,8,
R018,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,10:50,2026-06-16T10:50,Junho,Manhã,Nublado,26,Acima de 1 clo (inverno),3,1.25,Estudante,Sim,Diabetes,18-29,2,Feminino,Parda,Preta/Parda,Educação Superior incompleta,5,Alguns dias da semana,3,Lazer,Insegurança,Não,0,1,3,3,3,1,1,1,1,4,3,3,2,Sim,Sensação de insegurança,1,0,0,0,1,0,0,0,Não,0,Não,0,Parcial,1,Não,0,Parcial,1,Sim,2,Sim,2,Parcial,1,Parcial,1,Sim,2,Sim,2,Nem frio nem calor,0,Assim mesmo,0,Um pouco desconfortável,1,OK,Pouco vento,OK,Sim,2,2.71,1,1,8,
R019,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,10:40,2026-06-16T10:40,Junho,Manhã,Nublado,21,Acima de 1 clo (inverno),3,1.25,Estudante,Não,,18-29,2,Masculino,Preta,Preta/Parda,Educação Superior incompleta,5,Esporadicamente,1,Lazer,Calçadas ruins,Não,0,3,2,2,5,5,1,1,3,3,2,1,3,Sim,Falta de bancos ou locais para descanso; Calçadas ruins; Falta de sombra,3,0,1,0,0,0,1,1,Não,0,Não,0,Sim,2,Não,0,Não,0,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Um pouco de frio,-1,Assim mesmo,0,Um pouco desconfortável,1,OK,Ventoso,Úmido,Sim,2,2.29,3,2,3,
R020,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:00,2026-06-16T11:00,Junho,Manhã,Nublado,26,Acima de 1 clo (inverno),3,1.25,Estudante,Não,,18-29,2,Masculino,Parda,Preta/Parda,Educação Superior incompleta,5,Esporadicamente,1,Lazer,Insegurança,Mais ou menos,1,3,4,3,4,3,1,2,3,3,1,3,1,Sim,Falta de bancos ou locais para descanso,1,0,1,0,0,0,0,0,Não,0,Não,0,Parcial,1,Não,0,Parcial,1,Não,0,Não,0,Parcial,1,Não,0,Não,0,Não,0,Frio,-2,Mais aquecido,2,Confortável,0,OK,OK,OK,Sim,2,2.57,2,2.5,8,
